student_id,rural,suburban,urban
736186,0,0,1
736421,0,0,1
736445,0,0,1
737499,0,0,1
739618,0,0,1
739621,0,0,1
742065,0,0,1
742084,0,0,1
746320,0,0,1
748232,0,0,1
769770,0,0,1
787791,0,0,1
808884,0,0,1
808894,0,0,1
809565,0,0,1
809567,0,0,1
812390,0,0,1
812406,0,0,1
812408,0,0,1
812413,0,0,1
813182,0,0,1
813202,0,0,1
869082,0,0,1
1118178,0,0,1
1121784,0,0,1
1152007,0,0,1
1160181,0,1,0
749168,0,0,1
753018,0,0,1
763715,0,0,1
763751,0,0,1
780963,0,0,1
783503,0,0,1
814076,0,0,1
817837,0,0,1
1015284,0,0,1
1062314,0,0,1
1063328,0,0,1
1063699,0,0,1
1063773,0,0,1
1063776,0,0,1
1063783,0,0,1
1063790,0,0,1
1157202,0,0,1
674379,0,0,1
678509,0,0,1
692565,0,0,1
692733,0,0,1
702319,0,0,1
706233,0,0,1
708382,0,0,1
711551,0,0,1
711552,0,0,1
711554,0,0,1
711584,0,0,1
711595,0,0,1
711596,0,0,1
711619,0,0,1
711635,0,0,1
711680,0,0,1
711738,0,0,1
712629,0,0,1
712634,0,0,1
713230,0,0,1
721941,0,0,1
743495,0,0,1
757872,0,0,1
759232,0,0,1
778270,0,0,1
1061297,0,0,1
1129712,0,0,1
1153226,0,0,1
1148006,1,0,0
1159133,1,0,0
1147228,0,0,1
1147537,0,0,1
1147551,0,0,1
1147560,0,0,1
1147694,0,0,1
1147695,0,0,1
1147696,0,0,1
1147702,0,0,1
1147919,0,0,1
513833,0,0,1
524826,0,0,1
525456,0,0,1
525502,0,0,1
528600,0,0,1
528626,0,0,1
531505,0,0,1
532040,0,0,1
533945,0,0,1
534607,0,0,1
536432,0,0,1
742336,0,0,1
742427,0,0,1
799729,0,0,1
1148240,0,0,1
1148242,0,0,1
1148243,0,0,1
110571,0,0,1
501423,0,0,1
504179,0,0,1
518768,0,0,1
525437,0,0,1
528577,0,0,1
528583,0,0,1
531092,0,0,1
531606,0,0,1
531607,0,0,1
534158,0,0,1
542437,0,0,1
594789,0,0,1
742436,0,0,1
782891,0,0,1
1148214,0,0,1
1148216,0,0,1
1148217,0,0,1
1148218,0,0,1
1153362,0,0,1
110545,0,0,1
110565,0,0,1
500939,0,0,1
504682,0,0,1
504783,0,0,1
508320,0,0,1
510746,0,0,1
513847,0,0,1
519286,0,0,1
525478,0,0,1
525882,0,0,1
526408,0,0,1
528829,0,0,1
529714,0,0,1
531070,0,0,1
532109,0,0,1
532825,0,0,1
533999,0,0,1
534005,0,0,1
534025,0,0,1
536801,0,0,1
553631,0,0,1
560740,0,0,1
598900,0,0,1
669090,0,0,1
739384,0,0,1
742462,0,0,1
783770,0,0,1
485476,0,0,1
516072,0,0,1
517098,0,0,1
524671,0,0,1
532082,0,0,1
533452,0,0,1
533939,0,0,1
533988,0,0,1
534056,0,0,1
542826,0,0,1
565397,0,0,1
573517,0,0,1
598456,0,0,1
686992,0,0,1
718150,0,0,1
742397,0,0,1
769077,0,0,1
1056940,0,0,1
1147726,0,0,1
1158003,0,0,1
1170712,0,0,1
111369,0,0,1
499416,0,0,1
499947,0,0,1
519321,0,0,1
532118,0,0,1
540197,0,0,1
540883,0,0,1
542774,0,0,1
545591,0,0,1
567617,0,0,1
591597,0,0,1
742479,0,0,1
752948,0,0,1
810704,0,0,1
1015225,0,0,1
1147669,0,0,1
1162819,0,0,1
1148752,0,1,0
1149257,0,1,0
1149258,0,1,0
1149259,0,1,0
1149260,0,1,0
1149261,0,1,0
1149262,0,1,0
1149263,0,1,0
1149264,0,1,0
1149265,0,1,0
1149266,0,1,0
1149267,0,1,0
1149268,0,1,0
1149269,0,1,0
1149270,0,1,0
1149271,0,1,0
1149272,0,1,0
1149273,0,1,0
1149274,0,1,0
1149275,0,1,0
1149276,0,1,0
1149278,0,1,0
1149279,0,1,0
1149292,0,1,0
1150260,0,1,0
1150261,0,1,0
1150262,0,1,0
1150264,0,1,0
1150269,0,1,0
1150273,0,1,0
1151546,0,1,0
1151547,0,1,0
1151548,0,1,0
1151549,0,1,0
1154295,0,1,0
1096133,1,0,0
1096134,1,0,0
1096135,1,0,0
1096136,1,0,0
1096137,1,0,0
1096138,1,0,0
1096143,1,0,0
1096146,1,0,0
1096148,1,0,0
1096149,1,0,0
1096150,1,0,0
1096156,1,0,0
1096157,1,0,0
1096158,1,0,0
1101528,1,0,0
1142339,1,0,0
1150275,1,0,0
1150278,1,0,0
1150281,1,0,0
1150282,1,0,0
1150285,1,0,0
1150289,1,0,0
1150291,1,0,0
1150292,1,0,0
1150299,1,0,0
1150300,1,0,0
1150368,1,0,0
1150921,1,0,0
1151602,1,0,0
1151607,1,0,0
1151608,1,0,0
1153938,1,0,0
1153939,1,0,0
1153958,1,0,0
1157866,1,0,0
1160549,1,0,0
1150230,1,0,0
1150231,1,0,0
1150233,1,0,0
1150234,1,0,0
1150236,1,0,0
1150237,1,0,0
1150238,1,0,0
1150239,1,0,0
1150240,1,0,0
1150241,1,0,0
1150242,1,0,0
1150243,1,0,0
1150244,1,0,0
1150245,1,0,0
1150247,1,0,0
1150248,1,0,0
1150249,1,0,0
1150250,1,0,0
1150251,1,0,0
1150252,1,0,0
1150253,1,0,0
1150268,1,0,0
1151536,1,0,0
1151541,1,0,0
1152727,1,0,0
1150112,1,0,0
1150113,1,0,0
1150117,1,0,0
1150118,1,0,0
1150119,1,0,0
1150120,1,0,0
1150122,1,0,0
1150124,1,0,0
1150127,1,0,0
1150130,1,0,0
1150131,1,0,0
1150133,1,0,0
1150134,1,0,0
1150135,1,0,0
1150136,1,0,0
1150137,1,0,0
1150138,1,0,0
1150141,1,0,0
1151323,1,0,0
1151328,1,0,0
1153939,1,0,0
1150023,1,0,0
1150024,1,0,0
1150025,1,0,0
1150026,1,0,0
1150027,1,0,0
1150028,1,0,0
1150029,1,0,0
1150030,1,0,0
1150031,1,0,0
1150032,1,0,0
1150033,1,0,0
1150035,1,0,0
1150036,1,0,0
1150037,1,0,0
1150038,1,0,0
1150062,1,0,0
1150090,1,0,0
1150921,1,0,0
1151200,1,0,0
1151202,1,0,0
1151204,1,0,0
1151206,1,0,0
1151207,1,0,0
1151211,1,0,0
1151608,1,0,0
